Brand,Title,Size,Price,List Price,Discount %,Rating,Review Count,Link
Safari,Safari,Medium,2099,8999,76.68,4.0,0,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTI2NDg5ODg5NTI0MTE5OjE3NzUwNjAxNjY6c3BfYXRmOjMwMDU4NjA1NDkyODEzMjo6MDo6&url=%2FSafari-Polycarbonate-Wheeling-Suitcase-Champagne%2Fdp%2FB0F9FMQZWN%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.TjyGWVjANMUYJ81SCTsN0HRsl8roM4TyrEXGVXmfyFIjHnEg07E194bMiNXXDQ7LmQQl1PFv55hW6ZOfyt7hS7N5mM5zjsEZLvMwUZDK1s5abP6v-Cn9yAhNSejae0Hj6i-Feo6mCtkha_pfR-lW2cIELS6IMOGEtqCljC4wzHp4UObq0R3Hj9RA3KOI_vjQB79HD9yMd52PDDWqZLHEsj0ky9eamZQ3PpxBXFKE1-oDK2YqszI49WxADOk5ipK61FI75o3G_uCftFlLTglPp_vLeJXVQQ1JwSDViSkdCKU.iXM5RduQ0r-fG1u4LegXDLJzvTVr4DOgRxfkTuEOBw4%26dib_tag%3Dse%26keywords%3DSafari%2Bluggage%26qid%3D1775060166%26sr%3D8-1-spons%26aref%3DvkYv9kYlV4%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=vkYv9kYlV4&sp_cr=ZAZ
Safari,Safari,Medium,2099,7140,70.6,4.1,0,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTI2NDg5ODg5NTI0MTE5OjE3NzUwNjAxNjY6c3BfYXRmOjMwMDcyMzM2MjMwMDgzMjo6MDo6&url=%2FSafari-Polycarbonate-Hardsided-Luggage-Suitcase%2Fdp%2FB097JK62G2%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.TjyGWVjANMUYJ81SCTsN0HRsl8roM4TyrEXGVXmfyFIjHnEg07E194bMiNXXDQ7LmQQl1PFv55hW6ZOfyt7hS7N5mM5zjsEZLvMwUZDK1s5abP6v-Cn9yAhNSejae0Hj6i-Feo6mCtkha_pfR-lW2cIELS6IMOGEtqCljC4wzHp4UObq0R3Hj9RA3KOI_vjQB79HD9yMd52PDDWqZLHEsj0ky9eamZQ3PpxBXFKE1-oDK2YqszI49WxADOk5ipK61FI75o3G_uCftFlLTglPp_vLeJXVQQ1JwSDViSkdCKU.iXM5RduQ0r-fG1u4LegXDLJzvTVr4DOgRxfkTuEOBw4%26dib_tag%3Dse%26keywords%3DSafari%2Bluggage%26qid%3D1775060166%26sr%3D8-2-spons%26aref%3DURMelem8LG%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=URMelem8LG&sp_cr=ZAZ
Safari,Safari,Medium,4799,27997,82.86,4.0,0,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTI2NDg5ODg5NTI0MTE5OjE3NzUwNjAxNjY6c3BfYXRmOjMwMDU1MTc1MTEyMDUzMjo6MDo6&url=%2FSafari-Trolley-Polypropylene-Wheeling-Suitcase%2Fdp%2FB0F67G7R9M%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.TjyGWVjANMUYJ81SCTsN0HRsl8roM4TyrEXGVXmfyFIjHnEg07E194bMiNXXDQ7LmQQl1PFv55hW6ZOfyt7hS7N5mM5zjsEZLvMwUZDK1s5abP6v-Cn9yAhNSejae0Hj6i-Feo6mCtkha_pfR-lW2cIELS6IMOGEtqCljC4wzHp4UObq0R3Hj9RA3KOI_vjQB79HD9yMd52PDDWqZLHEsj0ky9eamZQ3PpxBXFKE1-oDK2YqszI49WxADOk5ipK61FI75o3G_uCftFlLTglPp_vLeJXVQQ1JwSDViSkdCKU.iXM5RduQ0r-fG1u4LegXDLJzvTVr4DOgRxfkTuEOBw4%26dib_tag%3Dse%26keywords%3DSafari%2Bluggage%26qid%3D1775060166%26sr%3D8-3-spons%26aref%3DYHIgaf5Bsh%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=YHIgaf5Bsh&sp_cr=ZAZ
Safari,Safari,Medium,1699,8999,81.12,4.2,0,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTI2NDg5ODg5NTI0MTE5OjE3NzUwNjAxNjY6c3BfYXRmOjMwMDYyMDg3MzA2MDAzMjo6MDo6&url=%2FSafari-Pentagon-Polypropylene-Wheeling-Suitcase%2Fdp%2FB097BG27MD%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.TjyGWVjANMUYJ81SCTsN0HRsl8roM4TyrEXGVXmfyFIjHnEg07E194bMiNXXDQ7LmQQl1PFv55hW6ZOfyt7hS7N5mM5zjsEZLvMwUZDK1s5abP6v-Cn9yAhNSejae0Hj6i-Feo6mCtkha_pfR-lW2cIELS6IMOGEtqCljC4wzHp4UObq0R3Hj9RA3KOI_vjQB79HD9yMd52PDDWqZLHEsj0ky9eamZQ3PpxBXFKE1-oDK2YqszI49WxADOk5ipK61FI75o3G_uCftFlLTglPp_vLeJXVQQ1JwSDViSkdCKU.iXM5RduQ0r-fG1u4LegXDLJzvTVr4DOgRxfkTuEOBw4%26dib_tag%3Dse%26keywords%3DSafari%2Bluggage%26qid%3D1775060166%26sr%3D8-4-spons%26aref%3Dftyl9PtuKX%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=ftyl9PtuKX&sp_cr=ZAZ
Safari,Safari,Medium,1899,8999,78.9,4.0,0,https://www.amazon.in/Safari-Trolley-Polypropylene-Wheeling-Suitcase/dp/B0FLYG5Y79/ref=sr_1_5?dib=eyJ2IjoiMSJ9.TjyGWVjANMUYJ81SCTsN0HRsl8roM4TyrEXGVXmfyFIjHnEg07E194bMiNXXDQ7LmQQl1PFv55hW6ZOfyt7hS7N5mM5zjsEZLvMwUZDK1s5abP6v-Cn9yAhNSejae0Hj6i-Feo6mCtkha_pfR-lW2cIELS6IMOGEtqCljC4wzHp4UObq0R3Hj9RA3KOI_vjQB79HD9yMd52PDDWqZLHEsj0ky9eamZQ3PpxBXFKE1-oDK2YqszI49WxADOk5ipK61FI75o3G_uCftFlLTglPp_vLeJXVQQ1JwSDViSkdCKU.iXM5RduQ0r-fG1u4LegXDLJzvTVr4DOgRxfkTuEOBw4&dib_tag=se&keywords=Safari+luggage&qid=1775060166&sr=8-5
Safari,Safari,Medium,1699,8999,81.12,4.2,0,https://www.amazon.in/Safari-Pentagon-Polypropylene-Wheeling-Suitcase/dp/B097BH338H/ref=sr_1_6?dib=eyJ2IjoiMSJ9.TjyGWVjANMUYJ81SCTsN0HRsl8roM4TyrEXGVXmfyFIjHnEg07E194bMiNXXDQ7LmQQl1PFv55hW6ZOfyt7hS7N5mM5zjsEZLvMwUZDK1s5abP6v-Cn9yAhNSejae0Hj6i-Feo6mCtkha_pfR-lW2cIELS6IMOGEtqCljC4wzHp4UObq0R3Hj9RA3KOI_vjQB79HD9yMd52PDDWqZLHEsj0ky9eamZQ3PpxBXFKE1-oDK2YqszI49WxADOk5ipK61FI75o3G_uCftFlLTglPp_vLeJXVQQ1JwSDViSkdCKU.iXM5RduQ0r-fG1u4LegXDLJzvTVr4DOgRxfkTuEOBw4&dib_tag=se&keywords=Safari+luggage&qid=1775060166&sr=8-6
Safari,Safari,Medium,1899,8999,78.9,4.0,0,https://www.amazon.in/Safari-Polypropylene-Wheeling-Suitcase-Flintstone/dp/B0FLYJ6H77/ref=sr_1_7?dib=eyJ2IjoiMSJ9.TjyGWVjANMUYJ81SCTsN0HRsl8roM4TyrEXGVXmfyFIjHnEg07E194bMiNXXDQ7LmQQl1PFv55hW6ZOfyt7hS7N5mM5zjsEZLvMwUZDK1s5abP6v-Cn9yAhNSejae0Hj6i-Feo6mCtkha_pfR-lW2cIELS6IMOGEtqCljC4wzHp4UObq0R3Hj9RA3KOI_vjQB79HD9yMd52PDDWqZLHEsj0ky9eamZQ3PpxBXFKE1-oDK2YqszI49WxADOk5ipK61FI75o3G_uCftFlLTglPp_vLeJXVQQ1JwSDViSkdCKU.iXM5RduQ0r-fG1u4LegXDLJzvTVr4DOgRxfkTuEOBw4&dib_tag=se&keywords=Safari+luggage&qid=1775060166&sr=8-7
Safari,Safari,Medium,4799,27997,82.86,4.0,0,https://www.amazon.in/Safari-Trolley-Polypropylene-Wheeling-Suitcase/dp/B0F67KYF8J/ref=sr_1_8?dib=eyJ2IjoiMSJ9.TjyGWVjANMUYJ81SCTsN0HRsl8roM4TyrEXGVXmfyFIjHnEg07E194bMiNXXDQ7LmQQl1PFv55hW6ZOfyt7hS7N5mM5zjsEZLvMwUZDK1s5abP6v-Cn9yAhNSejae0Hj6i-Feo6mCtkha_pfR-lW2cIELS6IMOGEtqCljC4wzHp4UObq0R3Hj9RA3KOI_vjQB79HD9yMd52PDDWqZLHEsj0ky9eamZQ3PpxBXFKE1-oDK2YqszI49WxADOk5ipK61FI75o3G_uCftFlLTglPp_vLeJXVQQ1JwSDViSkdCKU.iXM5RduQ0r-fG1u4LegXDLJzvTVr4DOgRxfkTuEOBw4&dib_tag=se&keywords=Safari+luggage&qid=1775060166&sr=8-8
Safari,Safari,Medium,1699,8999,81.12,4.2,0,https://www.amazon.in/Safari-Pentagon-Polypropylene-Wheeling-Suitcase/dp/B097BG27MD/ref=sr_1_9?dib=eyJ2IjoiMSJ9.TjyGWVjANMUYJ81SCTsN0HRsl8roM4TyrEXGVXmfyFIjHnEg07E194bMiNXXDQ7LmQQl1PFv55hW6ZOfyt7hS7N5mM5zjsEZLvMwUZDK1s5abP6v-Cn9yAhNSejae0Hj6i-Feo6mCtkha_pfR-lW2cIELS6IMOGEtqCljC4wzHp4UObq0R3Hj9RA3KOI_vjQB79HD9yMd52PDDWqZLHEsj0ky9eamZQ3PpxBXFKE1-oDK2YqszI49WxADOk5ipK61FI75o3G_uCftFlLTglPp_vLeJXVQQ1JwSDViSkdCKU.iXM5RduQ0r-fG1u4LegXDLJzvTVr4DOgRxfkTuEOBw4&dib_tag=se&keywords=Safari+luggage&qid=1775060166&sr=8-9
Safari,Safari,Medium,2499,9800,74.5,4.0,0,https://www.amazon.in/Safari-Polycarbonate-Wheeling-Speed_Wheel-Suitcase/dp/B097JMXLT9/ref=sr_1_10?dib=eyJ2IjoiMSJ9.TjyGWVjANMUYJ81SCTsN0HRsl8roM4TyrEXGVXmfyFIjHnEg07E194bMiNXXDQ7LmQQl1PFv55hW6ZOfyt7hS7N5mM5zjsEZLvMwUZDK1s5abP6v-Cn9yAhNSejae0Hj6i-Feo6mCtkha_pfR-lW2cIELS6IMOGEtqCljC4wzHp4UObq0R3Hj9RA3KOI_vjQB79HD9yMd52PDDWqZLHEsj0ky9eamZQ3PpxBXFKE1-oDK2YqszI49WxADOk5ipK61FI75o3G_uCftFlLTglPp_vLeJXVQQ1JwSDViSkdCKU.iXM5RduQ0r-fG1u4LegXDLJzvTVr4DOgRxfkTuEOBw4&dib_tag=se&keywords=Safari+luggage&qid=1775060166&sr=8-10
